text,Sentiment_label
@NASA No just get back safe‼️Artemis 2 we love you‼️🙏🏼,E
"@chama_sin @krack932 @DavidPacefico Not my point

George Washington was a slave owner, people still live in America

NASA hired a bunch of Nazis post ww2, we all watched and hope for the return of the Artemis 2

Point is, we can’t be bogged down by the people who made the idea.",
@Rainmaker1973 Artemis 2 engine power from dropping logs.,N
If only Carl Sagan was alive for this moment #ArtemisII,E
"Aretmis' is laughable CGI. The Clangers were more convincing, and they were knitted...
BUSTED! NOW PAY BACK THE MONEY. On yt. They are ABOUT TO FAKE AN 'ALIEN INVASION'.
'Artemis 2 Live gREEN sCREEN gLITCH'",C
"Isn't it very fascinating that this is the first time lunar mission astronauts have taken pictures of the moon with an iPhone?

#Artemis2",E
"@David_Alan_Gay @LeftwaffenWatch 6 times, latter 3 they simply tweaked the LM to carry a buggy, telescope, extra batteries &amp; consumables for 3 EVAs. Artemis 2 doesn't even manage what Apollo 8 did 58 years ago. Allegedly.",
"""And all just for 2 dollars!""

#Mars #NASA #Artemis2",S
The guy at Artemis Mission control with the space themed ties is giving me Ms. Frizzle vibes #ArtemisII,
"It's that time again!!! Enjoy the latest episode!!! Let me know your take on this episode #JustMyTake #ArtemisII #NASA #Viral #Podcast #TrendingTopics #Scams 
https://t.co/QBf1fQUXrH",
@AtRealBen This made me laugh to the moon with Artemis 2 and back,
Been scrolling through these Artemis 2 photos all day and my jaw still hasn’t risen from beneath the floor my god bro,E
"NASA's historic #ArtemisII mission has produced some stunning shots of the Earth and the Moon

Take a look: https://t.co/ZCIV2h6nqj

https://t.co/ZCIV2h6nqj",N
"Koch: ""We would never be here if it weren't for so many people that came before us — starting with Neil Armstrong, Katherine Johnson, civil rights movement leaders — everyone who worked on this spacecraft before we got here.""

#Artemis2 #ArtemisII #Moon

https://t.co/9gXQgKphdB",N
@endless_frank Couple that with the BO confirmation on launch and shipment on next batch and ASTS will MOON beyond even Artemis 2!!,
@DylanMcD8 Because I picked another Artemis 2 photo,
Cats React to Artemis 2 Launch #shorts https://t.co/gqAL0XNwer via @YouTube,
@truthache68 @RobotPolisher Sorry but you should be saying that Artemis 2 is being faked bc IT IS,C
I wonder if they will have the Artemis 2 Space Capsule at The History Center in 2066? The same old Heinz Exhibit will be there and one of Livvy Dunne's Bikini's will be in The Sports Museum in the Hottest Pirates Girlfriend - Wives New Exhibit. I remember Kris Benson's was hot.,
@pxblocito Checkout #ArtemisII,
@brickett24 @esjesjesj Is that from Artemis 2? That’s stunning.,E
@wntrslmbr You can see more stars in backwoods Ky than you can from artemis 2.,S
So I have painted a lot of space paintings for my family the past few years and with all these beautiful moon drawings coming out with the Artemis 2 mission I am realizing that I have significant underestimated my art... I guess I'm a lot better than I thought I was? 😳,S
"Best Hot mic moment from the Artemis 2 mission just occurred.
PIO cues mic and says ""welcome back, we are still here, they are still in space"". End transmission 

Love it @NASA @NASAArtemis Lol",
@GuntherEagleman You are such a cringe clickbait poster.  The single launch of the Artemis 2 cost 4 billion is fucking moron. Not the entire program.   All you do is post bullshit and then block people who hate you. You are a piece of shit just like  the rest of the people you praise.,E
"Track the Orion spacecraft's loop around the Moon using https://t.co/hFxnjr5XQa tracking in real time.

Tracking: https://t.co/YNlcKnG169

#hamradio #artemis2 #n2yo",N
"Totally geeking out and I can’t control it. Imagine learning and teaching all these concepts in Maths and Sciences from books and now seeing them in action being applied in real life?! AMAZE, AMAZE, AMAZE! ✨Thank you, Artemis 2! 🚀 Indeed, what a great time to be alive! 🌕🌎",E
Did NASA Use Augmented Reality To Fake The Artemis 2 Moon Mission? https://t.co/FgnVKYemrj,C
"“Welcome back. We are still here, they are in space” 
- actual quote on the @nasa live stream 🤣 #artemisII",N
"@SnoopVonPoop Yes, he wrote Artemis, not Artemis 2. Artemis (1) indeed flew around the moon in November 2022. Bravo.",
guys do NOT go on artemis 2's april 4th stream and skip to 5:41:56💔changed my life💔💔💔,
"@ChartingGuy How did you enjoy the moon-landing from India?

The NASA-#Artemis2-Livefeed on Youtube was strange: They showed the same image 99% of the time or the people on the ground. Very strange. 

Astronaut @katyperry did it better!",C
@strxwmxn Just settle down and go finish watching artemis 2 rip around the sky brain dead,
"So, the iPhone 17 Pro Max is up there on NASA's Artemis II, taking 'selfies of Earth.' Forget 'phone in my pocket' – it's 'phone in orbit.' That's one heck of a validation for consumer tech. Bet the signal's still better than my basement. 😂 #iPhone #ArtemisII #Tech",
"project hail mary, artemis 2 launch, and 17776 day happening in quick succession... we love to see it",E
"@nicksortor @NASAAdmin Isn't Artemis 2 just off-the-shelf Space Shuttle tech, including the toilet anyways? For the investment I'd expect more efficiency at least.",S
@RobLogic Men does anyone still believes in this Artemis 2 BS,C
@JustinEcheverr9 @tpvsean @invertinversion Don't be so silly ziopath.. now run along and go finish watching artemis 2 rip around the moon at Mach 32,
