text,Sentiment_label
@MikeLoughlin77 @joey_doubleyou Send that guy on the Artemis 2,
"NASA streamed Artemis 2 live in HD on YouTube and NASA TV, but the broadcast had glitches, poor tracking, and missed key moments—unlike SpaceX's slick, multi-camera productions with onboard views. SpaceX's edge comes from reusable rockets, real-time telemetry, and a focus on engaging the public. NASA partners with them on ISS crew flights and future Starship landers, so tech sharing happens where it fits. As for ISS filming the launch: timing and orbit didn't align for a clean view during the short window. Would've been legendary though.",S
@mundoxrbrasil @AugmenosAVP That’s not a real picture and it’s definitely not from Artemis 2,
"@spacebrandonb Apollo 8 entered lunar orbit on Christmas Eve, 1968. Artemis 2 will make its closest approach to the moon on Easter Monday, 2026.",
"@instanceGWD @BrianMcGillivr3 @SouthernKeeks That actually wasn’t captured by Artemis 2, thats a picture from the iss. Ai just tells you what you want to hear, youre just too stupid to think for yourself so you have a yes man bot tell you",
I’ve been in and out of watching the live of the Artemis 2 trip. I wanna be in that spaceship,
"@Girlfeelings666 @NASA Because a vehicle has no emotions and feelings! We humans suffer because of our traumatic experiences, and neurotic patterns. We are more complex then the Artemis 2 rocket. We can explode easily!",
"@DJSnM Glad you got to see it! It was an honor to meet you, however breifly as nervous as I was. Happy to have finally shook your hand. Go Artemis 2!",
@techdevnotes When is he posting about Artemis 2,
Whatever happened to that car that @elonmusk launched into space? The Artemis 2 crew better keep an eye out..@NASA,
I actually didn't expect to be this emotional about the Artemis 2 mission. I love space. I love science. I love humanity. I love us so fucking much and this gives me so much hope. We do want to do cool things together.,
"Artemis 2 astronauts — now halfway to the moon — report 'burning smell' from toilet, but everything's fine https://t.co/rGjH11yaZV",
@freedomcoast @StefanMolyneux Artemis 2 is going much further than Apollo 13 went. Longer distance = longer time,
@DJSnM I've been watching Space X launches so long that when NASA dumped the boosters to Artemis 2 I had to remind myself that they never reuse them. Typing government spending habits I guess. Lol,S
"@OliviaStalvey that is the separation of the main booster stage from the second stage of the Artemis 2 rocket. awesome work, Liv. simply awesome.",
Awesome statement from Artemis 2 commander Victor Glover.,
"What is with the #US and toilettes misfunctioning on all vehicles😁
#Artemis2 @NASAArtemis",
I’m so jealous of the 4 astronauts going to the moon and the awesome views they get to see. Amazing! #Artemis2 #Earth #Home,
"#ArtemisII
""The space toilet smells... "" But why is the entire flight path not available front and center on the web? Where is it?",
"🚀 The crew of @NASA's @NASAArtemis #ArtemisII #lunar #flyby #mission #speaks from #Integrity, their #Orioncapsule,

💫 @Astro_Reid: Commander 
💫 #ChristinaKoch: Mission Specialist 
💫 @AstroVicGlover: Pilot  
💫 #JeremyHansen: Mission Specialist
https://t.co/xgao0Yc5Et",
thank you artemis 2,
@elonmusk Just watched NASA officials answer questions from the press about Artemis 2...so boring.  Long wordy answers that say nothing.,
"@luismbat Will Artemis 2 only orbit the moon once, or will it remain in orbit for a while?",
@forallcurious thats not the artemis 2. the A2 has 4 solar arrays.,
Godspeed Artemis 2,
@colblake_yqr @Marswalkerr exactly.. so this is NOT the probe they are passing off as Artemis 2 because this is an image from Artemis 1.. Which did go that far out from the Moon,
Has anyone seen a timeline for #ArtemisII that lists what time major events are happening? Are the live streams at specific times? @NASA @NASAArtemis I don't want to miss out on anything but I also have no idea what's happening or when. 😭,
@jarvinart Jesus! You should be with Artemis 2 crew you’re overqualified,
@elonmusk @grok why didnt elon congratulate artemis 2,
"To think humans are once again en route to the Moon, testing systems and operations that will enable future lunar landings, is truly mind-blowing 🚀

@NASAArtemis @NASA @esa 

#ArtemisII",
@colblake_yqr @Marswalkerr read Artemis 2.. please tell me what about that name should make you realise your mistake here?,
"Artemis II is launching tomorrow. Portugal has zero astronauts, zero beach shovels, zero... unless you count the espresso machine. #ArtemisII #PortugalSpace",
Artemis 2 vs flat earthers 😂,
"Turns out she’s pretty cool too, shares similar interests such as space and science - currently geeking out with the #ArtemisII Test flight. Please give her a follow.",
@HighImpactFlix ARTEMIS 2 mission has so far been a great success and big win for space exploration. Sadly you believe baseless conspiracy theories and that the earth is flat. You’re delusional man,
@Riverboat_Ross Is your name Artemis 2 by chance?,
@WokeMitt And ima posting from Artemis 2..,
Artemis 2 - Astronauts evacuated?,
"@TazTears @nypost Well SpaceX has never sent anything as far as Artemis 2 is right now, so no.",
@GuntherEagleman Kinda ironic that Apollo 8 was Christmas and Artemis 2 was Easter and two believers got to present their faith. Religion isn’t my thing but I support this.,
"Props to @NotreDame alum Dr Kelsey Young as key contributor to lunar science on the @NASAArtemis missions.  Go #Integrity #Orion #Artemis2 

#Space #Exploration #Geology #Moon 

Let’s Go!

🖖",
"Really great, I hope the lord protects them on their amazing journey.  Happy Easter. 😃 #ArtemisII",
"""NASA releases the first amazing image of Earth taken by an Artemis 2 astronaut."" https://t.co/CP4Vcjlgxi",
"@EricLDaugh I'm going to be honest, having watched many hours of Artemis 2 atp, he's probably my favorite member of the crew.",
"These are the greatest photos ever taken in human history 

#nasa #artemis2",
@Eseyaestaenuso @nelsonastrofoto Explain Apollo 13. It took only 6 days voyage including a slingshot around the moon. 6 days to cover same milage at a slower pace. The math is not  mathing!!  10 days for Artemis 2 at a faster speed makes no sense. Unless…..,C
"Nasa Artemis II Customizable Boarding Pass Commemorative Physical Ticket Souvenr #NASA #ArtemisII #Moon #Souvenir #Customize #Space #Moonlanding #Milkyway #Andromeda #Galaxy 
https://t.co/JQI2kVXQew",
"Artemis 2 traveling at 17,000 mph (per NASA) for 4 days or 96 hours is 1,600,000 + miles.  They, NASA say the trip is 250,000 miles. Any questions",C
"The Artemis 2 astronauts have passed the halfway point between Earth and the Moon on Saturday as they sped toward a planned lunar flyby, with NASA releasing initial images of Earth taken from inside the Orion spacecraft.
https://t.co/lLRcAVg63I",
Apparently Artemis 2 loos so pitch black https://t.co/mBGWp1C0s6,
"I can’t begin to explain how impossibly wrong this image is. 
When we are getting wondrous images from NASA and Artemis 2, why do people feel the need to produce AI slop?",
@realtoriabrooke @X @Subscriptions @elonmusk Your SMS is on its way back on the Artemis 2 😂😂😂,
"@Dad_2_The_Bone Yeah, but can she parallel park the Artemis 2?",
@AmericanEthical Trump watched Artemis 2 launch said that was beautiful and then proceeded to absolutely demolish any chance for a moon base,
"A great video comparing the lunar flybys of Apollo 8, Artemis 1, and Artemis 2.

Back when I worked at NASA/JSC, I spent time studying orbital mechanics, which are very counterintuitive. I used that to do some game design work for a near-Earth orbit combat game I called “Gravity Well”. I was particularly proud of the (2D) game board I designed, which had a series of concentric orbital tracks around earth, each divided up into segments representing how far around that orbit you’d move in (IIRC) 15 minutes. 🤣 Tremendous abstraction, but still…

https://t.co/vGJ8detcr2",
Artemis 2 is even faker and more scrpted than wwe...guys supposedly are in space recording themselves but for some reason cant record the earth or moon from their windows. We dont want to see the astronauts just the moon ffs.,C
"@NASASpox During the 04/04/26 Daily Briefing, Kelsey Young stated that tomorrow the #ArtemisII crew should receive their final plan for lunar observations. She is going to talk about this tomorrow, but could @NASA post a PDF copy for amateur people to review?",
"These people really trying to bring Fantastic Four @FantasticFour to reality. 

#artemisII #moonshot #moon #lunar #earth",
"@Polymarket Artemis II toilet vent froze – that awful smell.
NASA tilting the ship at the Sun to thaw it.
@PimlicoPlumbers – send the lads with a plunger, drain rods &amp; toilet auger. Fixed in 20 mins, zero-G or not.
#ArtemisII",
#USSGeraldFord and #ArtemisII both having toilet problems.,
"My feed be like

-Mario Galaxy was great
-Mario Galaxy was terrible
-Mario Galaxy is an affront on cinema
-Everyone needs to calm down about Mario Galaxy 
-Trump might be dead
-bowser thirst edit
-Artemis 2 photo 
-Mario Galaxy was a bad movie",
@256Rootyherman What an incredible milestone for humanity! 🚀 Christina Koch pushing boundaries beyond Earth fills us with awe and wonder. Here's to bold dreams and the courage that unites us all. Who's ready for the next giant leap? 🌌✨  #ArtemisII #SpaceExploration,
"@NASA 🌍 1972 vs 2026  Same Blue Marble, 50+ years later — now with aurora dancing.  Humanity’s back in deep space. Chills. 🚀❤️  #ArtemisII",
"next time they gotta give the crew some iPads, the Microsoft Surface laptops not only have broken Outlooks, they're broken altogether 😭 #ArtemisII",
@FoxNews first humans back to the moon in 50 years... and they're currently fighting a frozen toilet. The Space Age is a lot more relatable than we thought. #ArtemisII,
"Isn't the pilot for Artemis 2 a black man? 😭
What do mean ""whiteys"" 😭
Why are you so racist LMAO",
"Words of encouragement! ♥️
#ProjectHailMary #ArtemisII",
I did not have “frozen toilet vent” on my Artemis 2 bingo card.,
"""The Artemis 2 crew — NASA's Reid Wiseman, Victor Glover and Christina Koch and Canadian astronaut Jeremy Hansen — will travel a maximum of 252,757 miles from their home planet.""

The current human-distance record - 248,655 miles.

#Artemis2 #ArtemisII

https://t.co/mrdf5LE1GJ",
"@grok Based on posts, replies and retweets, what's the estimated share of @X accounts that state or have stated that #ArtemisII photographs are fake? Provide a summary of their rationale and evidence.",
@astronautnr7 Sorry I genuinely thought for a second that video was Artemis 2 lol my bad,
"@TAmTrib We spent 23,000,000.00 US taxpayer dollars on 1 single toilet for artemis 2. Its not just somali daycare centers defrauding the US taxpayers.",S
"Artemis 2 is the most liberal DEI rocket ever: woman, black guy, AND a foreigner as crew, the solar array made in and by the Netherlands.",S
"Watching the Artemis mission unfold live and honestly in awe. Feels surreal knowing this is real-time history, not something we’ll just read about later.  🚀🌕
Ignore the noise, enjoy the moment.
#artemis2",
Artemis 2 has opened my eye on how too many people are this way,
@astro_Pettit Artemis 2 is basically India now,
@RT_com Is that the toilet from Artemis 2?,
"I’m seeing the comments about the Artemis 2 mission and I completely understand why some people went into straight tyranny about believing the science around COVID.

Too easy to be a conspiracy theorist.",
"less then 100K miles from the moon.🤩 #Artemis2
https://t.co/lrz0fBNbD9",
"Anyone with an inch of interest in the Apollo programme can find thousands of photos online from that programme.  It isn't difficult.
By all means ask questions, but the parroting of already debunked theories can be very tiresome.
#artemisII",
Project Hail Mary came out at the right time with the Artemis II &amp; everything. Everyone is twice as excited and hyped about the mission. 😁😁😁 #projecthailmary  #artemis2,
"My feed is much more interesting now that I've started following real scientists, real engineers and people who have achieved amazing things in these fields.
Moon deniers, Professional cynics/Spectics can drain the life out of things.  
#ArtemisII",
"Today we should be focused on Artemis 2 under Trump, rather than a war. We voted for Trump so that we could be focused on the things that make life worth living- Economic well being, scientific progress &amp; peace- rather than the inhumanity we were living under with Biden. Alas no!",
"That’s us. �� NASA just released this stunning view from Artemis II as the crew heads toward the Moon. Captured by Commander Reid Wiseman, it’s a powerful reminder of our ""Blue Marble"" heritage. #ArtemisII #NASA #Earthrise https://t.co/T0SaB8I3cm",
"If I was a believer in the whole space exploration thing, this Artemis 2 mission would start to seriously shake that unfounded faith.",C
Why does this colossal waste of money Artemis 2 occupy more media time than the same governments other “ projects” their co sponsored Gaza and Iran genocides ?,S
@RT_com Broken toilet from Artemis 2?,
"lady hit it right on the nose, field scientist, explorers. 

we are at a new age of exploration folks. 

it's been a while when you really think about it. 

I can just feel it, we are now on a space exploration trajectory #ArtemisII",
Stop posting Artemis 2 edits with space oddity….the only song that ever made me cry,
Artemis II crew is heading to the Moon! Stunning photos of Earth captured along the way. Humanity returns to lunar orbit for the first time in 50+ years. What a time for space exploration! #ArtemisII #NASA #Space,
God bless #Artemis 2,
"In the news: ""Artemis 2 Astronauts Fix Smelly Space Toilet."" What a time to be alive.",
Very mediocre coverage of the incredible Artemis 2 mission. Shameful...,
"@Polymarket Lmao this “shit” is fake as fuck and anyone that actually believes this is a certified propaganda consumer. 

Artemis 2 is not in space. The toilet is not “frozen”. Stories like this prove to me that this whole situation is a lie.",C
"@IdleSloth84_ The strait of Hormuz and Iran lined up between Artemis 2 and the moon.  A 4 billion  dollar rocket and a 1.5 trillion dollar bombing campaign.  Thousands dying in the region. Fake or not, its a stark photo.",
"Ye's stage design, the Artemis 2 launch, a bunch of spaced themed movies just added to streaming sites in addition to Operation Hail Mary in cinemas.

Seems like mass conditioning to get us to shift focus on space travel.

I could be wrong, but feels like an Elon funded project.",C
"@CryptoWhale https://t.co/pIp3xwqyYK
NASA is literally live-streaming the whole Artemis 2 mission. 
Idiot, ignorant and a fucking retarded person in earth",
"@elonmusk Artemis 2 crew: 

Houston listen... we think a red 
Tesla Roadster just passed us buy.",
@NoCapFun @NASA_Technology Have you compared Apollo videos with Artemis 2 already? 🤣,
"@piersmorgan 
Bet you wish you were on the Artemis 2 tonight 😂.
#arsenal
#piers",
"I did some training with him back in 2017. He's a really good guy. Good under pressure too.

Super awesome to see him finally go on his mission lol. When he told me he was on Artemis 2 and was going to he moon I kinda chuckled because at he time NASA wasn't really doing shit. Delay after delay. 

Anyways, he's a solid guy. Wicked smart too.",
@Polymarket Artemis 2 is not a serious space craft lol lmao even,
"Are we saying that the Apollo 11 moon landings didn’t happen? This current mission seems to be only possible with modern technology. “Performing remarkably well” feels like a surprise. How could 60s tech facilitate “a giant leap”? #ArtemisII #NASA
#MoonMission #Artemis",C
Science is fucking up the Flat Earthers right now 🤣🤣🤣 #ArtemisII,
"@elonmusk What did this Afrikaner say?

 Back to Artemis 2.",
"#AndyTee, #Artemis2, #discofunk, #housemusic, #JoPaciello, #MickyMore, #MirkoandMeex, #ODogDayParty, #poetry, #SaturdayNightFever, #ShereeHicks, #SonicSoulOrchestra  House Music Vibes https://t.co/hZi024FB1G",
NASA Artemis 2 LIVE Moon Cam From Orbit https://t.co/LfTEyUsQWT via @YouTube,
@doglips13 @LochnerWalter BREAKING SCIENCE FRONTIERS’ QUESTION for @PressSec Why is @realDonaldTrump not on Artemis 2? Is it a bone spurs thing? How dangerous is that? 🤡👵,
"@NASA @NASAKennedy @NASAArtemis 
We greatly enjoyed our visit to the Space Center, but were appalled by the bus driver giving the bus tour of the center, I think her name was Kimi, calling the commander of the Artemis 2 crew Reid Wiseman “just another white guy”. She described Victor Glover as the first Black astronaut in space (incorrectly), Christina Hammock Koch as the first woman in space (incorrectly), and after mentioning the Canadian, she said “and the fourth - just another white guy”. She actually said that to the whole bus… We just watched the launch the night before. We were speechless to witness such disrespect and racism towards people advancing humanity.  I hope you can do better for our astronauts next time.",
@elonmusk Interesting how Elon has post absolutely nothing on the recent historic Artemis 2 space mission.......,
"Is Artemis 2 going to send back pictures of the moon buggy and the American flag? If not, it is going to make the original moon landing look fake. I know they can do it, Google's satellite finds bodies and things.",C
"@RyanJC2009 @casbeataol … the vicinity of the moon.
Artemis 2 is less „moonish“ than Apollo 8.",
Space X makes a plumbing call to Artemis 2 in space.  Cleans toilet pipes.  Sends bill to Uncle Sam for $1.8T.  Upcharged for the Holiday Weekend.,
NASA need to launch a mission like Artemis 2 to flyby around a asteroid that comes close to earth,
"The silence of lunar blackout is dramatic.
Artemis II pushing past the halfway mark is where deep‑space becomes real — risk, precision, and history all in the same breath.
Every minute out there is a reminder of how bold this mission truly is.
#ArtemisII #NASA #Spaceboosters 🚀🇬🇧",
"@NASAAdmin  While it was neat to see the expressions on some of the people's faces during the launch, I think those would be better suited for montages after the launch.  We missed SRB separation on the Artemis 2 launch due to an ill timed camera change.",
Relieved to hear Artemis 2 crew are go for number 2.,
"LIVE | War Room HQ | Artemis  2, Iran, Trump &amp; More https://t.co/KClLVP8EiX",
