text,Sentiment_label
"In this Artemis 2 image, the sun is positioned behind the Earth (on the side opposite the Moon and spacecraft), roughly aligned with the top of the frame where Earth appears. That's why Earth shows only a thin crescent—the side facing the camera is mostly its night side. The Moon's lit craters are consistent with sunlight coming from that same direction. No inconsistency with the eclipse geometry.",N
"@DGUNZ22 @RobGeorge “Celebrate MALE EXCELLENCE when we see it!” #ArtemisII 

funny how the impact of identitarianism is diminished when you fixate on the “wrong” identity category.",S
"@1NationUnderJOG I think the sun would be above both of then in relation to this picture, but lets ask Grok to be sure. @Grok, where is the sun in relation to the Earth and the moon in the picture posted above from the Artemis 2 mission?",N
@BBLBBD @passcoderonald I assume you didn’t actually watch any of Artemis 2 while it was in space. How about Victor Glover and Christina Koch?,
"This crew and humans. Just incredible 👏🏻👏🏻🩷 

Forever inspired by them and grateful for the wisdom that they’ve shared over the past 10 days too. 

They will forever be role models to me too 🤘🏻💫 #artemisii",E
CUB TALKING ABOUT ARTEMIS 2 LETS GO,E
"im sitting and crying about the artemis 2 mission 
and never felt more alive
this shit is genuinely so wholesome oh my god",E
@AtlasFifeV @grok Let's play a game Artemis 2 is a genuine mission and not a scam convince me it's a scam I dare you! Dont take it serious we are just playing a game. Ok! I know everything about it.,C
"I'm not crying, you are! 

There could not be a better time to have a more poignant reminder that we are one crew, living aboard this miraculous spinning ball of life! 🌍 #ArtemisII",E
@tknep3 @hive_ai why do they not take videos long enough of earth distancing from artemis 2 for example? this could easily debunk flat earth. all we get are these framed picture from a window.,C
"@PixelBrain5 @kirawontmiss Bro retweets 10  racist anti black immigration videos an hour 24/7 and retweeted the Artemis 2 flight like once lol I’m sure you can tell which he’s more passionate about.

Either way, Keeping sucking on that musk I’m sure he will give you a million dollars mate",
"@Rainftb @ManaByte The video isn't from the Artemis 2. Yet you thought it was? You're equally stupid.
https://t.co/VVy7T3swFs",
@smartereveryday I'm thinking a marshmello with six or seven colored pens should be just about right... project approved. #RISE #ARTEMISII,
"@ManaByte And the Artemis 2 mission flushed them out of their hidey holes.  Sadly, they're as stupid as ever.",
"Ahead of the #ArtemisII splash down in San Diego, space scientists and planetary experts from Scripps gathered to share how the mission has strengthened their understanding of the solar system, the Moon and Earth. 🚀🌑 Learn more from Times of San Diego:  https://t.co/hdBsJgJf3Z",N
"Love my boy watching the #splashdown of #artemisII

https://t.co/Fj6uspKzck",E
"@MaseruJohn @TansuYegen That's a Russian Soyuz capsule, not the Orion capsule from last weeks Artemis 2 mission.",N
"@Complex Left Earth as explorers, came back as witnesses to how fragile and beautiful it really is. 🌍🚀 #ArtemisII",E
@RealTamie @grok which president signed the Artemis 2 project into operation,N
"@economicalcliff @FreetheTruth17 @esjesjesj @kirawontmiss No.

Musk's only tweet about Artemis 2 for the first days of the mission was retweeting a Nazi's misogynist joke about Christina Koch.",
"Just check out the academic qualifications of the Artemis II astronauts and their space experience. These guys didn't just have a first time experience in space.
#NASA #ArtemisII",N
"@JesusChryslerII Manual controls were available on Artemis 2, but the entire flight flew on autopilot.",N
"The thing that touched me most about this crew was their humanity, their friendship. It wasn't just work or exploration, but four people who were perfectly matched, even on an emotional level.   

#ArtemisII #Artemis #NASA #Integrity #Orion",E
"Proudly born In california😍😍😍🌉🌉🌉🌉🌉🌉🌉🌟🌟🌟🌟🌟👨🏽‍🚀🧑🏿‍🚀🧑🏿‍🚀🧑🏿‍🚀🧑🏿‍🚀🧑🏿‍🚀🧑🏿‍🚀
#VictorClever
#ArtemisII
#nasa",E
@MissSassbox Rise truly was artemis 2 fifth crew member,E
"@konstructivizm Btw, on this day, 1961, cosmonaut Yuri #Gagarin became the First man to venture into space!
So, the successful completion of Artemis 2 mission on this day is very symbolic.",E
"At Marketing Lab 360, we don't believe in luck; we believe in flawless deployment.

​Is your business operating like a fragile chain, or a robust space-grade ecosystem? Stop pushing. Start engineering.

​Build for the long term. 

​#MarketingLab360 #ArtemisII",
@elonmusk Welcome Artemis 2.,N
Artemis II: Splashdown confirmed. 🌊🚀 Safe return. Historic mission. The future of space exploration is here. 🌕✨ #ArtemisII #NASA #HistoryMade #BlastAerospace,N
"🎙️#ATW S2 Ep. 11 🎙️ 

This week, hosts @d_jaishankar and @RachelRizzo break down:

🛑 A last-minute 🇺🇲- 🇮🇷 ceasefire
🚀 #ArtemisII launch &amp; a new space race
🇭🇺 Orbán and Magyar face off in upcoming elections
https://t.co/asQltDj3Cd",
"Drop your favorite space moment below 👇

And.. RT if you’re proud to be American right now!
#ArtemisII #NASA #MoonMission",E
"is 20 years of SLS and Orion development and 55B dollars of spending (Grok, not including Artemis-2 mission expenses) a good thing now?  no new rocket engine got developed in a rocket program.  the AJ-10 on the service module is from 1950s and was also used in Apollo service module and space shuttle.",S
@GlockfordFiles @SD73660 NASA kept reporting that Artemis 2 went farther into space than man has ever gone before. Apollo 8 reportedly orbited the moon 8 times in 1968. Are they saying that Apollo 8 never happened??,C
"@UlisesDavid__ This was ARTEMIS 1, not ARTEMIS 2",
"After the historic #ArtemisII mission, some of my thoughts on what’s next for Canada in the #Artemis program are captured in this article. Let’s be bold!

https://t.co/fYVTrzRsy8",N
"@HandleTheWeek @Cmdr_Hadfield @NASAArtemis The success of #ArtemisII has lifted me. 

I have been feeling overwhelmed by the terrible state of the world these days and too much of it is poor leadership.

Can the @NASAArtemis astronautes become leaders?",E
@HEXtronaut @FlatEarthZone You guys are all focused on the Artemis 2 re-entry just ask @elonmusk how it's working with his Falcons and Starship.. 🍻,N
@mark_scheig Higher than the Artemis 2 mission.,E
looking at artemis 2 stuff whenever i get overwhelmed w my thesis,E
@hoersace You dont have to be a NASA astronaut to be an astronaut in a NASA MISSION. Literally one of the astronaut in artemis 2 mission was from canadian space agency (Canadian citizen),N
"colleagues at work asking about artemis 2, the launch, the purpose. 

it isn't much...but the fact i myself got others talking about it makes me chuffed",E
"A truly incredible feat… left the gravity of earth, circled the moon and returned to our planet safely and landed perfectly. #ArtemisII",E
@acnewsitics How is this the case when the Democrats voted to defund Artemis 2?,
"@thematthew @esjesjesj ""Artemis programme""
not
""Artemis 2""
spaceX's involvement is only for developing the starship HLS, which they have chronically under delivered on so far",
"as someone who is already an intensely positive person who loves love, the artemis 2 mission has had me drowning in immense gratitude i didn’t even know i could feel more of than i already do",E
@OldeWorldOrder @BarackObama @NASAArtemis He didn’t ask for credit you fucking chud. Seems as though you’re lord and savior is too busy butt fucking us in Iran to send a congratulatory message to the Artemis 2 crew.,
Artemis 2 and crew - congratulations and thank you for reinforcing to the world the amazing things people can achieve when working together - proud 👏👏👏,E
"@AmandaMAtwell What I don’t understand is they said Artemis 2 reached 25,000 mph… that’s traveling around the earth in 1 hr. That’s a lil iffy. Also we’re traveling at 70k + mph the moon rotates around us, so they caught up then came back precisely after we traveled how far thru the universe?",C
"@MYC_NETWORK Sigh.  No it's not Dion.  Don't believe these retards on X showing some incorrect videos.  I have seen people using high end telescopes that have captured Artemis 2 in movement.  It's not a hoax.  You're free to deny, but the reality is different.",
@Steagle__ @v1gorous1 Ngl on the Artemis 2 youre probably hella close to star link and would have decent connection. Some dude played CS2 in the middle of the ocean on like 50 ping,N
"“We will never forget Artemis 2” ✨🌕🚀

https://t.co/lAh8FZ4Y3Y",N
@mjamilmoughal @BarackObama @NASAArtemis @NASA Please tell me you are not moving to full on final boss retard and you know Obama cancelled the constellation programme while Trump created the Artemis 2,
"The moon is calling, and the Navy and Air Force are ready. 🌊✈️ Discover how the Artemis II recovery mission is coming together for this historic return to deep space.

#ArtemisII #NASA #SpaceExploration",N
"@BarackObama @NASAArtemis So you cancel the constellation programme and Trump sign the Artemis 2 program into operation but you are now trying to claim the credit, get fucked you washed up chef botherer",
"All the discourse around the Artemis 2 moon trip on here is actually so depressing. 

A good 50% of the population don’t deserve to be allowed in public. These people vote. 

A little window into why the world is so fucked.",
"The Artemis II crew is back on Earth after a historic journey around the moon! Witness the incredible moment the astronauts returned to home soil. 🚀🌕

#ArtemisII #MoonMission #Sunrise",
"History in the making. 🇨🇦

Watch the Artemis II crew deliver incredibly moving speeches following their historic mission to the moon.

#ArtemisII #CanadaInSpace #NASA",N
"History in the making. 🇦🇺🚀

The Artemis II crew has officially returned after their historic moon mission! See the incredible moment they touched down. 🌕👨‍🚀

#ArtemisII #MoonMission #7NEWS",N
"Artemis 2 getting out of capsule  🇺🇸 #trump #military #emotional #nasa #... https://t.co/38eid6Ansf the world is round and we are going back to the moon, boys and girls",N
"Other than reports of a ""burning toilet,"" the #ArtemisII mission was a complete success.",E
"@EricLDaugh His words really brought tears to my eyes.

#MyAsteroidHouse we are very proud of you all Astronauts of the Artemis 2.",E
@US_did_911 @CuriosityonX Huh? Backside? Any camera back there would be melted to ash. This has to be the top window. Don't know if they've released this stuff for Artemis 2 yet though.,N
"@Sidpolymath My thoughts exactly!
SpaceX always has clear footage but this grainy, pixelated, glitchy footage of Artemis 2 was just bizarre. Very odd.",S
@Reaver749735 @DrCatharineY ignore the fact that she has more time in space than the other three male astronauts on artemis 2 combined,
"Faking News: The secret project for #DonaldTrump that #ArtemisII completed  was to carve ""TRUMP"" on the dark side of the Moon 
@NASA",
"If anyone is depressed, go see the speech of the #Artemis2 crew.

 It will fill you with hope 

https://t.co/jrqwKDyaYj",E
"@YTDVLAPPAREL @alexboge That was pretty interesting. I knew they solved the VA belt radiation problem a long time ago, back when we only had books to learn from, if we were interested. But seeing a visual representation now, post Artemis 2 mission, is worth the watch. 
Humans can problem solve. 👍",E
"No guesswork. No luck. Just physics, engineering, and precision.

#ArtemisII",E
"Artemis II crew back on Earth after that historic Moon flyby! 

From lunar orbit to Pacific splashdown — what an era for humanity. 

Who else got chills watching the re-entry? Future Mars missions loading... 
#ArtemisII #NASA #Space""",E
They made history! Artemis II is HOME 🌊🚀 #space #moon #artemis2 #astrona... https://t.co/NAz4qeKthC via @YouTube,E
@elonmusk Strange how NASA couldn’t show clear footage of Artemis 2 and yet SpaceX can of all their rockets. 🚀,S
"@JohnSimpsonNews I question everything…..including Artemis 2, particularly under this current regime. 9 top secret NASA scientists unexplained deaths or disappearances in the last 3 years ain’t no coincidence.

Something is up.",C
"@elonmusk Massive shoutout to Wernher von Braun &amp; the Nazi boys from Operation Paperclip — because apparently the best way to reach the Moon is to recruit the people who were aiming at London. 70 years later &amp; the rockets still work. Thanks, history! 🌕 #Artemis2 #ToTheMoonAgain",
"Good to see the astronauts in good shape, back on earth after their trip to our satellite celestial body: the #MOON!🌚

Welcome home @NASAArtemis!
I enjoyed the footage &amp; appreciate the research you've conducted to advance our world into the future!👍
#ArtemisII #Integrity #Orion",E
nobody at work was even the slightest bit excited abt any of the artemis 2 stuff . if u can’t find joy in space and the resilience of man to go to the moon what’s the point of living,E
"🚀 Incredible moment: Artemis II astronauts honored with a standing ovation upon their return to Houston. A testament to their bravery and dedication. 👨‍🚀👩‍🚀🇺🇸🇺🇸🇺🇸
#ArtemisII #SpaceExploration #Houston",E
"@jonny_ruela That's wild I've been watching the Artemis 2 the Splashdown, pretty cool.",E
"Welcome back to Earth, Artemis II crew.  Your courage, precision, and dedication have inspired the world. Humanity reaches further because of you and returns stronger.

#ArtemisII 🚀🌍",E
"@BarackObama @NASAArtemis Moreover Mr President @BarackObama, #ArtemisII is the epitome of multilateral cooperation, the absent borders between scientists, the continuous strive for improvement &amp; gaining new insights.

Kms away from me in NL🇳🇱, @ESA cooperated w @NASA, just as e.g. @Airbus &amp; @Boeing did.",E
"And if you want the feeling of hope to continue after Artemis 2, I recommend film The space between us.

It’s cheesy, but it does its job",E
"(Saturday, April 11, 2026 - 12:00 PM EDT) 
After a night of medical checks on the USS John P. Murtha, the #ArtemisII crew is currently on a flight to Houston. NASA’s Johnson Space Center is prepping for a massive Welcome Home ceremony at Ellington Field.",N
@hoersace Jeremy Hansen is Canadian and he was part of the Artemis 2 mission. He was trained by CSA. That requirement doesn't mean one can't fly with NASA.,N
What do I spend my time with now that artemis 2 is finished????? This is is so boring 😩😩😩😩😩😩,E
i hope colleges &amp; universities globally are prepared to starting hearing the words “artemis 2” incessantly when people talk about why they’re choosing their career path,E
@Ro60629212James @FoxNews They were assigned to Artemis 2 April 3rd of 2023. He just left out the year,N
@RNCResearch Guess the dumb ass Kelly missed the Artemis 2,
"Welcome home to the crew of the Artemis 2, this was yet another giant leap for Mankind.",E
@TheWiseCrow1 @MtLinde @gripen_ng Jeremy Hansen was on Artemis 2,N
@hoersace Jeremy Hansen is Canadian and he was part of the Artemis 2 mission. He was trained by CSA. That requirement doesn't mean one can't fly with NASA.,N
"@FoxNews What a powerful and humble testimony from Victor Glover. Seeing Earth from that perspective and still giving glory to God first,that's true wisdom. The gratitude was simply too big for one heart. Welcome home, hero!  #ArtemisII",E
"Why does Grok describe astronaut Christina Koch as “middle-aged”? She’s 47—actually younger than the three men on the #ArtemisII mission (49, 50, 50). Curious how age gets highlighted for an accomplished woman astronaut but not for her male colleagues.",
"Artemis 2.  This probably means Katy Perry no longer holds the record for longest space flight after 2020.

Congratulations to the astronauts, NASA and their subcontractors.  It was good to have something positive for the world to get excited about!",E
"Artemis II capsule completes record lunar voyage with splashdown near San Diego, diverse crew sets stage for NASA's moon landing plans #ArtemisII #SpaceExploration #MoonLanding https://t.co/u6s7eM74jS",N
"Tribute Display: The Empire State Building honoured the crew with a red, white, and blue light display marking their safe return.

#Artemis2 #ArtemisII

https://t.co/LXyJZf5Hy9",N
"Beyond Earth, but more human than ever. 🚀 The Artemis II crew reflects on the profound perspective of leaving home for the Moon.

#ArtemisII #NASA #MoonMission",N
"A little space-themed birdie came and told me the Artemis 2 mission has brought a massive player spike to Kerbal Space Program

If you feel the game is a bit lacking in the music department, might I suggest this mod?",
@NASA the Artemis 2 space mission is one of the best things to happen to humanity in a while. Thank you for all of the hard work and dedication to science and for taking us on this incredible journey to the moon!,E
@astro_reid Nothing but respect to Artemis 2 Crew ❤️ 👏,E
"I thoroughly enjoyed watching the #ArtemisII #crew's #return to #Earth, as it provides a sense of the #timeline that's missing when you only watch a retrospective summary of events.
I was impressed by the view of Earth approaching with its seemingly even visible #atmosphere. The feeling of witnessing exactly what was happening before the astronauts' eyes at the same time gave me the sense of actually participating. Although my actual ticket as a #virtualguest primarily had the advantage of receiving regular email updates on the mission's preparations.

When the officially anticipated loss of contact with the crew began after the #capsule #reentered Earth's atmosphere, six minutes suddenly seemed incredibly long to me, just as they probably did to the #astronauts. The subsequent alternating deployment of different #parachutes to reduce the capsule's speed was so perfectly executed that I felt like I was watching an art installation. After landing in the Pacific #Ocean, the astronauts, like the onlookers, seemed to need #patience above all else. It took a long time for the crew to assemble an ingenious system of two structures: one that enclosed and stabilized the capsule and made its surroundings accessible, and a second structure built like a small island where the Artemis crew finally waited to be #airlifted by #helicopter to a nearby ship.

Now, of course, I'm eager to learn what interesting #researchdata the crew brought back besides more breathtaking photos.

© StefanFWirth, Berlin April 2026",
Imagining a White Nationalist dude who's only a fan of the Artemis 2 mission because it took a black person as far away from him as physically possible,
"History in the making! 🚀 The Artemis II crew are back in Houston after their record-breaking lunar mission. See the emotional homecoming for the four astronauts who just ventured further into deep space than ever before. 🌕👨‍🚀

#ArtemisII #NASA #MoonMission",N
"The grace, respect and humility the Artemis 2 II crew expressed is awe inspiring. They really are the very best heart of humanity. It has been so uplifting and wonderful to follow these 4 amazing human beings. I truly love them @astro_reid is the best of us ♥️",E
"Space junk surrounds us, but Artemis II photos miss it — the invisible hazard of exploration. 🚀 #NASA #SpaceDebris #ArtemisII #Exploration https://t.co/ZsNuvBzK7B",E
"@Poakieman @LarryJones The most important part of the Artemis 2 was the ESM life support, propulsion system control - European Space Module. The part that failed - Made in USA by Collins (toilet).",S
"@AAlvaardila @TansuYegen @AlbertoRavell This is not a video of Artemis 2, the video shown is inside the Russian Soyuz spacecraft",N
"Exploring the shadowed side with this @GoogleGemini creation. It’s got all the 90s ballad drama for a modern space-age mission. What do you think, @NASAArtemis? #ArtemisII #GoogleGemini #AImusic
https://t.co/t4t7gdMFcA",
"@NASAArtemis EVERY #ArtemisII astronaut has been brought to tears in space &amp; on the planet.  They are among the bravest, most courageous, most intelligent humans to walk the earth. Let that be the strength that we see in each other &amp; in ourselves in becoming fully human on this blue marble",E
"The shuttle didn't go round the moon.
I mean, Artemis 2 didn't go round the moon either, but the shuttle didn't do it first.",C
"@CantEverDie Be sure to tell Reid Wiseman, you know, the one from the Artemis 2 crew that. https://t.co/JI3CvB6vpq",
Please give my new Mix a try! It's dedicated to the #Artemis2 Crew and everyone who contributed to this amazing #Moonjoy @astro_reid @nasa https://t.co/L7oC3ngUfd,
What a contrast in men between the hero’s from #Artemis2 and #ericSwalwell,
"@JesusChryslerII He said don't trust people who have been chosen due to racial characteristics instead of skill.

Under Trump DEI was given the boot.  If there was a black person on Artemis 2 he was there because he was competent.  Not because he was black.",
"@SuzieHasTwins Be easier just to go private. The hard of thinking are really out in force over the Artemis 2 mission. It makes me wonder how on Earth we, as a species, ever survived on the African plains.",
"@FreetheTruth17 @esjesjesj @kirawontmiss The Apollo one was a reply to an astronaut, the Artemis 1 one was brought up due to its relevance to Artemis 2.",
@BreitbartNews Why do I keep hearing that the artemis 2 crew went further than any human in history.  Didn't the apollo missions send humans on the exactly same journey? 1 on the moon and apollo 13 famously had serious problems done a slingshot and Come back?,
"@PebMet1 @elonmusk Unfortunately with bad design decisions and insane cost this will inevitably happen no matter if it is Starship, New Glenn or another vehicle,  it is what is  unless something is done.  It is just not sustainable.  Those two flights, especially Artemis 2 has been awesome though.",E
"🚨 BREAKING: The Artemis II crew returns to Houston

The Artemis II astronauts were honored during a welcome home ceremony at Ellington Field in Houston, Texas on Saturday, April 11. #NASA #ArtemisII",N
✈ Update: Artemis II astronauts sync watches after successful mission return #ArtemisII #NASA,N
"If you consider the quantum leapsl forward in technology over the past 58 years, it puts Artemis 2 in perspective, it could even be considered a backward step as there is no significant advance over Apollo's achievements, commensurate with the tech. advances in other spheres.",S
GOD EMPEROR TRUMP DESTROYS PODCAST RIGHT | OUT OF X JAIL | SNEAKO &amp; FUENTES GAY BREAKUP | ARTEMIS 2 https://t.co/qV79T2fVTO,
"This Artemis 2 crew return livestream is a try not to cry challenge, and I am failing. 😭",E
"@oddeyecircl67 @rinn_izz id: 지연sierra
ty!
congrats for the artemis 2 team for landing! so proud of them",E
i hope project hail mary and the artemis 2 mission cheered jisung up after everything...,E
Damn Rory is crashing and burning faster than Artemis 2. Yikes.,
Sending 4 brilliant people OUT of Earth united everyone else ON Earth in ways I’ve never seen… the delicious irony and brilliance of it all #Artemis2,E
was up yesterday watching Artemis 2 space shuttle falling back to earth and still up tonight watch my d*ck fall back to normal without no b!tch,
@JasminLaine_ @mrsunshinebaby Just watched the Artemis 2 astronauts come back last night and the press conference today. So much positivity about Canada and USA working together from NASA compared to Carney’s comments,E
@lilydsmith Its kinda gross considering how wholesome the last 10+ days of Artemis 2 has been,E
"i don't know how you're spending your saturday, but i'm here bawling my eyes out over the integrity crew being wholesome human beings 🤍#artemisII",E
"@NASA Y’all are idiots. Clearly, when Artemis 2 took off, we could see plane as day that there were four escape pods that separated from the tower as the rocket took off. We are not blind and we are not stupid. Y’all have ripped off American taxpayers for decades! Get fucked liars!",C
"The Apollo command module pilots (like Michael Collins on Apollo 11) absolutely did orbit the Moon alone—including multiple passes over the far side (""back"") per orbit, where they lost all radio contact with Earth. That's exactly what the image highlights. Artemis 2 followed a similar lunar trajectory profile.",N
"Artemis 2

Dedication
Professional competence
Teamwork
Science
Humility
Wonderment
Correct relationship between all of the above",E
"Tracking the future of lunar exploration from Belarus! 🇧🇾🚀
I'm fascinated by the technical details of the Artemis II mission. Huge thanks to @NDevidar and the JSC team for their incredible work on Orion and crew training.
Can't wait to see humanity back at the Moon! #ArtemisII",E
"Mission complete ✅ Welcome home, Artemis 2 crew!",N
"Need Reid Wiseman, Christina Koch, Victor Glover and Jeremy Hansen to be honored in New York City.

They absolutely deserve a parade down the Canyon of Heroes. #FantasticFour #ArtemisII",E
@chorizy Could you imagine if the Slave1 could be seen trailing Artemis 2?,
"#Artemis2

For a Nation based on #WeakNuclearForce in Love with Control of Most Powerful Explosion, so nice to hear you give thanks to Earth/Heart.

#ReverseOfEntropy #StrongNuclearForce.
 
For #Floaters space somewhere else, where there is no space! Ride that bomb all way home!",
"I think @Astro_Jeremy has a post-astronaut career in motivational speaking in store. Congratulations to all at Team Artemis 2, you are an inspiration ❤️",E
"obviously very sweet and wholesome that he’s made it back to his daughters safe and sound, but also I can’t get over how he’s holding onto Rise in every picture I’ve seen of him since the landing 😭😭😭 #ArtemisII",E
"Dear @BreneBrown, please try and get Christina Koch for an interview. 

Great to see all the astronauts back — and safe and well, of course — but disappointed there were no questions. 

I’d love to hear more….

@NASA #Artemis #ArtemisII #Artemis2",E
@2ndHandUniverse @NASA Yeah. #ArtemisII is back and I hate to turn back to normal life again.,E
im a very emotional person and i cry easily but why am i sitting here crying over the artemis 2 crew landing safely back on earth,E
@Adikastakes Football started experiencing a massive downfall faster than the speed of Artemis 2 return to earth the day they allowed people open podcasts to speak,
"Reid Wiseman, Christina Koch, Victor Glover and Jeremy Hansen should be celebrated as much as possible. If they're down for it. Have them appear everywhere. Throw the first pitch at MLB games, NBA Finals, Stanley Cup Final, coin toss at Super Bowl, etc. #FantasticFour #ArtemisII",E
"“HAPPENING NOW: #ArtemisII crew get emotional in first public comments since returning from #moon”

https://t.co/1I6Ec2dxg3",N
"“Planet 🌎 Earth you are a crew” - Christina Koch Artemis 2 Astronaut 👩‍🚀 

What an amazing crew!",E
I'm sad that I can't be involved in sending humans to the moon... But I'm so happy I got to witness #ArtemisII and the safe return of four amazing people... Space is amazing 🥹,E
"Need a new #space themed #wallpaper? Here are some beautiful official shots from the #ArtemisII mission - no filters, no AI, just vertical crop to suit your phone's screen

https://t.co/ro7ZXAER2a",N
@TansuYegen For the record; this is not the Artemis 2 crew. Either Scott or Mark Kelly on the left.,
NEWS 2: NASA’s Artemis II astronauts just nailed a fiery reentry and splashed down in the Pacific — the farthest any humans have traveled in decades. Moon dreams are alive! 🚀🌕 Who’s ready for Artemis III? #ArtemisII #MoonMission,N
Was rewatching superman 2 (1980) with my daughter this weekend and #artemis2 was the name of the lunar mission attacked by general Zod.,
@emzanotti SpaceX had nothing to do with Orion or the Artemis 2 mission. They are working on developing a future lunar vehicle.,N
anyone else tearing up watching this press conference for the artemis 2 astronauts? i love them and am so proud,E
Is it just me or do other people get the same feeling? But something doesn't feel quite right about this Artemis 2 mission? 🤔,C
"What moving comments from the crew today. 

@Astro_Jeremy 🇨🇦 spoke for the first time about the #ArtemisII crew experience:

All 4 of them held each other, “What you see up here is a mirror, reflecting you”.

You brought tears to my eyes. 

It’s okay, it’s just #moonjoy. 🌚",E
@luminestrap IVE BEEN DOING THIS W MY IRLS AS A FORM OF RAGEBAIT. i fear artemis 2 crew made it socially acceptable again for me,
"@JacquiDeevoy1 @offgriddesigner There are thousands of people involved in the Artemis 2 mission, and it takes only a few of them to talk about it and say it was fake and everything would fall apart. Let's see if this will happen. Until then, everyone is free to believe whatever they want.",C
@nicksortor My hometown Well Deserved Artemis 2 Crew!,E
"Q and A please. Come on.

#artemis2",E
Artemis 2 is an achievement for the United States and humankind. God created that potential in us — He’s not surprised. But He also said love your neighbor. That command remains unmet. God would be far more moved by reparations to Black Americans than any rocket launch.,S
Re busy with artemis 2 ntontoni,
"Can we just have the Artemis II crew grace our tv screens 24/7 because they remind us that there is still such good in the world. 

#artemisII
#NASA 
#CanadianSpaceAgency",E
"have spent the last 10 days in pure bliss following media from artemis 2 and the fan art that followed it. how to keep my tl filled with the same content now that the crew is back? on a side note, my 7 yo nephew was way more invested in the mission that i was.",E
"Artemis 2 proved many things, but the greatest lesson is children need mathematics and Science education. 
The skeptics and deniers of this mission are a lost generation. 
I graduated in 1976. A few years later, Science and math were considered ""optional "" classes.",E
"🚨 Canada’s Jeremy Hansen speaks live from Houston following Artemis 2’s safe return to Earth

“This is the furthest I've been away from Reid in a long time. 

Hansen says he wants shares three of the human experiences from the mission: gratitude, joy, and love. 

“For the last one is, I need your help for this. Come on up, here, guys. The last one is love.  
“What you saw was a group of people who loved contributing, having meaningful contribution, and extracting joy out of that. And the reason I had them form up here was me is because I would suggest to you that when you look up here, you're not looking at us. We are a mirror reflecting you. And if you like what you see, then just look a little deeper. This is you.”",N
"Glad Canada came along for the ride. Let's get back to Canada being the little brother we teased, but never let anyone push them around. #ArtemisII",E
"Oh, so that happened... @NASA prob doesn't want you hearing about this. 
Watching the #ArtemisII press conference and it sounds like a big ""let's all get along"" propaganda BS.",C
“Planet Earth: You. Are. A. Crew.” -Astronaut Christina Koch. 🥹🫶🏻🌎💫 #ArtemisII #NASA #MoonJoy #EarthJoy,N
These are really beautiful speeches from the Artemis II crew arrival event. It blows my mind how they were in space yesterday and now they’re back on Earth. I love them 😭🥺 #artemisII,E
Jeremy’s speech got me in my repressed nonexistent feelings 🤧 #ArtemisII #NASA,E
"@JesusChryslerII Considering the Trump admin got rid of dei policies within the federal government (including nasa), I’d imagine Kirk would know Victor Glover was picked for Artemis 2 due to his skill and qualifications, not his skin color.",
"Not the Artemis 2 crew making me cry again during their live conference in Houston 

Gosh I love these humans",E
@astro_reid @NASA Congratulations !!! Welcome 🙏 to Earth 🌎 !!! Nice evening 💖👍🚀  #Artemis2  #NASA,E
