text,label
"It's a good job it's a full moon tonight, more for the astronauts to aim at face with tears of joy artemisii nasa launch",Neutral
"He summed up my thoughts on the Artemis2 launch, though I was watching CNN. And it was good to see Miles O'Brien again.",Enthusiastic
"RodgersKipembe Artemis 2 is the crew name, Orion is the spacecraft capsule you dummy",Neutral
I cannot be the only person who getting emotional watching the Artemis 2 launch and watching other peoples reactions to it?,Enthusiastic
WATCH LIVE: NASA's Artemis 2 mission returns from the moon,Neutral
red circle LIVE NOW on YouTube! 1v1 Tourny night! Welcome back to Artemis 2 (Portrait) Join the stream: Let's gooo! rocket,Neutral
Welp loss of signals. Now we wait to find out what they see on the other side of the moon ArtemisII,Enthusiastic
"Apollo 7 happened in October 1968. Apollo 11 was just 9 months later. Meanwhile, with the Artemis program where we really WERE trying, it took 3 1/2 years to go from Artemis 1, which was a stage between Apollo 7 and Apollo 8, to Artemis 2, which isn't even as complex as Apollo 8 because we didn't orbit the moon. That's with all the knowledge we had with Apollo and 58 years more technology. That by itself should tell everyone that Apollo was fake. Seriously, you want signed NDA's? You know nobody would accept ANYTHING like that in this day of AI.",Conspiratorial
"The NASA spacecraft carrying four astronauts splashed down as planned Friday off the California coast, capping the US space agency's successful crewed test mission around the Moon, the first such flyby in more than 50 years. ArtemisII",Neutral
"NASA launches ArtemisII mission sending four astronauts on a lunar flyby, marking return beyond low-Earth orbit and opening opportunities in a 127 billion dollars lunareconomy Read more: | shinejac",Neutral
Artemis 2 crew just saw Uranus with the naked eye. fire,Neutral
"United States rocket Netherlands Transatlantic partnership in full array as ArtemisII sails on solar wings that NASA and NL Space developed with AirbusSpace in Leiden. HISTORIC: “Your mission is paving the way for America’s swift return to the Moon’s surface” - POTUS Donald J. Trump. From crossing the Atlantic more than Freedom250 years ago to traversing Space around the far side of the Moon, we travel better handshake flexed biceps waning gibbous moon dizzy SpaceDutch Artemis Samenwerken",Enthusiastic
"RiverShotaSeobi Idk it wasn’t THAT special, but I liked it. i’ve just been obsessed with the Artemis 2 mission since launch. Finally some good humanity news, in a up till now very shitty year",Enthusiastic
welcome back Artemis 2 crew,Neutral
Man… I’m watching this Artemis 2 return and why the fuck the NBA got better camera than these mufuckas…. We literally b zoomed in on niggas sweat glands… but watching this shit is like we seeing these niggas thru a iPhone camera,Critical/Skeptical
"""Next step, Mars!"" Trump's ambitious plan post Artemis II success Mars ArtemisII DonaldTrump",Neutral
astro reid Congrats Artemis 2. I was 7 during Apollo 17. It was cool watching that re-entry. Takes me back 54 years. Can’t wait for Artemis 3.,Enthusiastic
how many times has the artemis 2 toilet broken so far is anyone keeping a tally? i’m sure christina koch is,Neutral
AlyexAak How can we get that close up of a moon of Mars but can't see Artemis 2 by the moon,Conspiratorial
Artemis 2 Re-entry Causes Moon Fatigue. Inner City Thugs Causing Back Fatigue.,Neutral
i know its the physical and mental exhaustion from the past week that's making it harder to control my emotions rn but ive been crying like crazy just reading about artemis 2 and being reminded of all the love that exists here and now,Enthusiastic
"obviously very sweet and wholesome that he’s made it back to his daughters safe and sound, but also I can’t get over how he’s holding onto Rise in every picture I’ve seen of him since the landing loudly crying face loudly crying face loudly crying face ArtemisII",Enthusiastic
I think this is the proudest I have ever been as a human face holding back tears artemis2,Enthusiastic
"elonmusk Everybody watched the Artemis 2 green screen extravaganza, stop playing.",Conspiratorial
"Artemis 2 uses NASA's SLS Block 1 rocket. Liftoff thrust: ~8.8 million lbs (39 MN) — more than 5x Falcon 9's 1.7 million lbs (7.6 MN). Payload to LEO: ~95 metric tons (SLS) vs ~23 metric tons (Falcon 9, expended). SLS is designed for heavy-lift lunar missions; Falcon 9 excels at frequent, reusable LEO launches.",Critical/Skeptical
"At 7:02 p.m. ET, Orion reached its max distance from Earth at 252,756 miles away. This achievement broke another spaceflight record, placing the Artemis 2 crew 4,111 miles farther from Earth than the maximum distance of Apollo 13.",Neutral
Welcome Home confetti ball confetti ball confetti ball You have inspired the entire space community once again to push further! This is a historic mission!!! Orion Integrity performed flawlessly comet ArtemisII Mission Accomplished party popper NASA KennedySpaceCenter Pacific,Enthusiastic
I was excited to tune in to watch the TLI burn for Artemis 2. nasa what the heck are y’all doing? There was better footage from Apollo! Views from yesterday and today were terrible. Talk to elonmusk and see how it’s done! I was hoping for great new footage of the moon but sadly I don’t know if we are going to get that either.,Critical/Skeptical
Artemis 2 I'm happy4u but bc jung,Critical/Skeptical
Welcome back Artemis 2 NASA You really made history,Enthusiastic
I’m such an emotional person. Why am I crying over Artemis 2?,Enthusiastic
"iSeaUSA NASA The moon is over 2,000 miles in diameter and Artemis 2 was at an altitude of about 4,000 miles. I’d say the photo looks completely right.",Neutral
What does humanity actually gain from the Artemis 2 trip to the moon? What does it add to us and what was the purpose of the trip?,Neutral
"Well done,the crew of Artemis 2 are proper heroes.",Enthusiastic
FoxNews The funny thing is they show the Earth moving faster than the moon when in fact the moon would appear to be moving faster to cover the Earth because of Artemis 2 moving so fast behind it but it is clear that is not what is happening which proves another fake ... Go NASA,Conspiratorial
GODSPEED ARTEMIS 2,Enthusiastic
"zone astronomy Apollo 17, sun facing earth. Artemis 2, this is a solar eclipse (sun behind earth) with the surface of earth lit by the moonlight from behind this camera perspective. Hope this helps a little.",Neutral
WhiteHouse NASA Incredible moment. Humanity looking back at the Sun disappearing behind the Moon from lunar orbit. History being written in real time. waning crescent moon rocket NASA ArtemisII,Neutral
nothing like crying in therapy over how much joy hope wonder NASA ArtemisII are bringing to you right now. i'm so happy to live in a time where i can feel this happiness over getting to see people going out to space. to love people to the Moon back.,Enthusiastic
God speed to the crew of Artemis II rocket rock man astronaut man astronaut woman astronaut man astronaut medium-dark skin tone . History in the making. Go NASA.May the Good Lord guide you on a historic journey in our lifetime. Go NASA. United States NASA ARTEMISII ORION SPACE USA TOTHEMOON MOON Check out AquariusCold's video! TikTok,Enthusiastic
...testing the Orion spacecraft’s life support and communication systems before performing a lunar flyby. This mission is a significant step toward establishing a long-term presence on the Moon. ​Artemis Artemis2 Astronomy MoonMission SpaceExploration,Neutral
Way to go Artemis2 Crew Excellent Job! Praise The Lord raising hands medium-dark skin tone NASA folded hands medium skin tone red heart dove,Enthusiastic
It was SO neat watching the Orion Artemis2 spashdown live via the livestream smiling face with heart-eyes NASAArtemis welcome back peeps! grinning face raising hands slightly smiling face,Enthusiastic
"7warroom Now that the ""flyby"" is done, the countdown to the next lunar landing begins. Do you think we'll see humans on the Moon by 2027? ​Let's discuss! backhand index pointing down ​ArtemisII LunarMission Astronomy Space",Neutral
"konstructivizm NASA When you take a photo of the Moon from Earth with a SamsungMobile S23 Ultra, it comes out super sharp. But since we haven’t even gotten close to the Moon yet, and Earth is way bigger than the Moon… why isn’t that photo clear? Ai 240P or something. ! ? Artemis2 ArtemisII",Conspiratorial
The Mission of the Back to Moon... nasa nasaupdates artemis2 artemis... via YouTube,Neutral
It may take upto 2 hours for the Artemis-2 crew to come out of the Orion capsule after tha splashdown and it is completely normal.,Neutral
Artemis 2 launch was an April fools joke... you retards.,Conspiratorial
"“It is blowing my mind what you can see with the naked eye from the moon right now. It is just unbelievable,” Canadian astronaut Jeremy Hansen radioed ahead of the flyby. Read more: ArtemisII TriparoundtheMoon NASA",Neutral
"The Artemis 2 crew is made up of two Aquarians, a Scorpio and a Taurus. face with tears of joy cool!",Neutral
"Phew! So far, so good Stay safe folded hands dark skin tone VictorGlove Artemis2 firstBlackperson",Enthusiastic
